B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,CDOM Proxy (B3/B4),NDCI,NSMI,B4/B3,B4/B2,B4/B1,GCE_Salinity,GCE_Temperature(C)
156,191,327,339,523,959,1083,1284,1294,1183,1085,647,0.582255083,0.96460177,0.213457077,0.554259043,1.036697248,1.77486911,2.173076923,2.62,14.33
262,261,357,339,461,627,672,812,816,828,713,444,0.410947003,1.053097345,0.1525,0.454545455,0.949579832,1.298850575,1.29389313,19.26,15.89
369,472,601,597,864,1212,1319,1492,1472,1487,1485,1035,0.428434658,1.006700168,0.18275154,0.434730539,0.993344426,1.264830508,1.617886179,20.58,17.24
396,464,620,581,924,1494,1700,1828,1778,1734,1472,941,0.517642175,1.067125645,0.227906977,0.442642643,0.937096774,1.252155172,1.467171717,18.31,24.85
389,322,432,407,674,1185,1359,1389,1449,1738,1038,602,0.546770601,1.061425061,0.246993525,0.445305771,0.94212963,1.263975155,1.046272494,1.24,25.93
331,305,500,483,763,1111,1203,1243,1293,1610,1040,612,0.44032445,1.035196687,0.224719101,0.526397516,0.966,1.583606557,1.459214502,20.87,30.48
585,686,829,775,1147,1668,1934,1955,2084,1973,1507,954,0.432234432,1.069677419,0.193548387,0.400873362,0.934861279,1.129737609,1.324786325,10.13,30.85
334,430,525,453,690,1145,1371,1374,1445,1376,1132,746,0.50410509,1.158940397,0.207349081,0.389204545,0.862857143,1.053488372,1.356287425,19.6,31.54
217,169,257,252,396,748,795,931,932,1092,652,360,0.573964497,1.01984127,0.222222222,0.501474926,0.980544747,1.49112426,1.161290323,6.59,23.84
264,206,347,327,493,747,940,1069,1122,1430,837,533,0.531518625,1.06116208,0.202439024,0.531818182,0.942363112,1.587378641,1.238636364,21.13,22.84
181,330,406,380,560,895,1112,1196,1242,1234,1098,804,0.517766497,1.068421053,0.191489362,0.408602151,0.935960591,1.151515152,2.099447514,22.98,17.19
148,263,332,298,418,677,829,949,959,982,737,467,0.522052927,1.11409396,0.167597765,0.410974244,0.897590361,1.133079848,2.013513514,21.47,22.55
194,297,381,363,566,958,1106,1274,1294,1309,1049,691,0.556505803,1.049586777,0.218514532,0.429394813,0.952755906,1.222222222,1.871134021,7.38,17.24
243,303,426,448,673,1059,1231,1383,1379,1282,1049,605,0.510649918,0.950892857,0.200713649,0.485131691,1.051643192,1.478547855,1.843621399,3.89,9.5
208,226,327,325,506,883,1063,1154,1219,1032,924,531,0.560513861,1.006153846,0.217809868,0.485193622,0.993883792,1.438053097,1.5625,19.29,9.7
177,237,366,274,206,77,79,81,63,1,36,31,-0.543661972,1.335766423,-0.141666667,0.459521095,0.74863388,1.156118143,1.548022599,21.01,15.81
286,373,459,342,301,137,150,118,103,39,79,66,-0.486956522,1.342105263,-0.063763608,0.364565588,0.745098039,0.91689008,1.195804196,21.21,19.91
402,458,599,492,459,185,180,152,105,19,26,18,-0.527950311,1.217479675,-0.034700315,0.408650742,0.821368948,1.074235808,1.223880597,24.1,15.88
394,500,592,440,387,219,226,216,179,134,150,131,-0.341463415,1.345454545,-0.064087062,0.347258486,0.743243243,0.88,1.116751269,25,17.1
509,651,734,660,631,463,477,489,428,372,381,347,-0.148825065,1.112121212,-0.022463207,0.363325183,0.899182561,1.013824885,1.296660118,24.07,25.92
369,423,500,364,343,165,165,136,108,109,58,42,-0.456,1.373626374,-0.02970297,0.342657343,0.728,0.860520095,0.986449864,24.97,28.51
605,587,666,532,545,430,399,367,378,346,279,230,-0.183537264,1.251879699,0.012070566,0.342296919,0.798798799,0.906303237,0.879338843,24.84,30.44
619,778,893,817,832,559,570,523,491,328,458,410,-0.219402985,1.093023256,0.009096422,0.374598071,0.914893617,1.050128535,1.319870759,27.21,28.98
739,877,971,874,917,728,739,697,692,1274,630,572,-0.112667091,1.110983982,0.024008934,0.355620867,0.900102987,0.996579247,1.182679296,28.84,28.73
506,589,679,564,589,358,375,322,291,290,242,200,-0.273137698,1.203900709,0.021682567,0.3569869,0.830633284,0.957555178,1.114624506,31.02,30.41
496,493,608,535,541,274,280,218,179,145,69,54,-0.420982736,1.136448598,0.005576208,0.397310513,0.879934211,1.085192698,1.078629032,30.01,29.58
667,747,802,710,759,515,523,445,415,389,312,271,-0.229437229,1.129577465,0.033356025,0.338645418,0.885286783,0.950468541,1.064467766,29.75,30.8
1835,828,1050,1079,1292,1311,1485,826,1583,3606,1416,1387,-0.132808399,0.973123262,0.089835512,0.439972946,1.027619048,1.303140097,0.588010899,29.75,30.06
